Variable,Coefficient,Std_Error,t_value,P_value,Significance,CI_Lower,CI_Upper
Intercept,0.03462114138751195,0.20343120902288375,0.17018598844200672,0.8648638705793044,ns,-0.3640967016287799,0.43333898440380375
gd,1.4252901207779416e-05,5.674254254534013e-05,0.2511854521920768,0.8016707315479404,ns,-9.696043857231896e-05,0.0001254662409878778
bmi_c,0.003914412292360024,0.006213187626496591,0.6300167526998103,0.5286836235680723,ns,-0.008263211684763195,0.016092036269483245
age_c,-0.0008100436169935736,0.0004379818404961626,-1.8494913306814849,0.06438689847573975,ns,-0.001668472250248619,4.8385016261471734e-05
height,0.0016556022130873231,0.002458128282791982,0.6735214857081678,0.5006155844371077,ns,-0.003162240690564251,0.006473445116738897
weight,-0.0020554443145891126,0.002353105695905752,-0.8735027577237391,0.38238910376421653,ns,-0.006667446730380448,0.0025565581012022224
x_conc,0.18586576404036398,0.014802839667702428,12.556088440645286,3.680845452288275e-36,***,0.15685273142274636,0.2148787966579816
blood_draw_num,0.008433988789274916,0.0009150835526876805,9.216632475257098,3.0657719994863037e-20,***,0.006640457983162101,0.010227519595387731
y_z,0.0004103538876158928,0.0005019783280325264,0.8174733144840136,0.41365799330852504,ns,-0.000573505556347492,0.0013942133315792775
chr18_z,-0.0007657662605339754,0.0004816467156020964,-1.5898920011874411,0.11185915097011156,ns,-0.0017097764763860906,0.00017824395531813972
mapping_rate,-0.10167917181799627,0.03166461320447779,-3.211129444765095,0.001322143640365068,**,-0.16374067328316416,-0.03961767035282837
x_z,-0.0005524764142190884,0.0005286442830751049,-1.0450816019523617,0.29598525645354323,ns,-0.0015886001696792911,0.0004836473412411144
dup_rate,-0.08793007361930576,0.17571653847843116,-0.5004086375745388,0.616787372610318,ns,-0.43232816052507744,0.2564680132864659
Group Var,14.944825149919144,2.6733145565196317,5.590372862584379,2.265825353664917e-08,***,9.705224899793999,20.18442540004429
Group x gd Cov,-0.092513005319593,0.01901822780784799,-4.864438803357742,1.1478201315950302e-06,***,-0.1297880468727532,-0.0552379637664328
gd Var,0.0008002663530779861,0.00015251897219925172,5.246995449408833,1.5459971607759504e-07,***,0.000501334660608387,0.0010991980455475853
