measurement_error_std,expected_risk,success_rate,constraint_satisfaction_rate,average_detection_failure_risk,average_delay_risk,group_name
0.002,0.1,0.9985073581894408,1.0,0.0,0.1,BMI组1
0.003,0.1,0.9981738679651094,1.0,0.0,0.1,BMI组1
0.004,0.1,0.997640987955218,1.0,0.0,0.1,BMI组1
0.005,0.1,0.9968433061353512,1.0,0.0,0.1,BMI组1
0.006,0.1,0.9957008145029537,1.0,0.0,0.1,BMI组1
0.008,0.1,0.9920319710037544,1.0,0.0,0.1,BMI组1
0.01,0.1,0.9860125867031602,1.0,0.0,0.1,BMI组1
0.002,0.5203106947663676,0.9987603744442934,1.0,0.0,0.5203106947663676,BMI组2
0.003,0.5203106947663676,0.9984909204139553,1.0,0.0,0.5203106947663676,BMI组2
0.004,0.5203106947663676,0.9980550486135189,1.0,0.0,0.5203106947663676,BMI组2
0.005,0.5203106947663676,0.9973918122725366,1.0,0.0,0.5203106947663676,BMI组2
0.006,0.5208633553543363,0.9964232588338329,0.9925373134328358,0.000552660587968711,0.5203106947663676,BMI组2
0.008,0.5222135600924669,0.9932084948993377,0.9925373134328358,0.0019028653260993928,0.5203106947663676,BMI组2
0.01,0.5237985251664119,0.9877243955359021,0.9925373134328358,0.0034878304000443604,0.5203106947663676,BMI组2
0.002,0.5268970515215327,0.996809762836899,1.0,0.0,0.5268970515215327,BMI组3
0.003,0.5268970515215327,0.9962666282682151,1.0,0.0,0.5268970515215327,BMI组3
0.004,0.5268970515215327,0.9954327161166785,1.0,0.0,0.5268970515215327,BMI组3
0.005,0.5268970515215327,0.9942395311210742,1.0,0.0,0.5268970515215327,BMI组3
0.006,0.5268970515215327,0.9926080522169602,1.0,0.0,0.5268970515215327,BMI组3
0.008,0.5293528820108538,0.987713372634391,0.9659090909090909,0.002455830489321134,0.5268970515215327,BMI组3
0.01,0.5382231096840815,0.9802454905114591,0.9204545454545454,0.011326058162548792,0.5268970515215327,BMI组3
0.002,0.5423472915477182,0.9957209809401495,1.0,0.0,0.5423472915477182,BMI组4
0.003,0.5423472915477182,0.9951006102751667,1.0,0.0,0.5423472915477182,BMI组4
0.004,0.5423472915477182,0.9941657141232829,1.0,0.0,0.5423472915477182,BMI组4
0.005,0.5423472915477182,0.9928560901088721,1.0,0.0,0.5423472915477182,BMI组4
0.006,0.5467035573587617,0.9911040075669741,0.9411764705882353,0.004356265811043569,0.5423472915477182,BMI组4
0.008,0.5573463476475561,0.98601019477801,0.9411764705882353,0.014999056099837897,0.5423472915477182,BMI组4
0.01,0.5698396017598278,0.9784847964079297,0.9411764705882353,0.027492310212109666,0.5423472915477182,BMI组4
0.002,0.5499625750330417,0.98781153277098,1.0,0.0,0.5499625750330417,BMI组5
0.003,0.5499625750330417,0.9865865277601493,1.0,0.0,0.5499625750330417,BMI组5
0.004,0.5499625750330417,0.9848413250337189,1.0,0.0,0.5499625750330417,BMI组5
0.005,0.5499625750330417,0.9825559550452431,1.0,0.0,0.5499625750330417,BMI组5
0.006,0.5746480812956404,0.9797147571097512,0.6666666666666666,0.024685506262598727,0.5499625750330417,BMI组5
0.008,0.6349572262654771,0.9723370922155915,0.6666666666666666,0.08499465123243548,0.5499625750330417,BMI组5
0.01,0.7057523329016853,0.9627344381845573,0.6666666666666666,0.15578975786864366,0.5499625750330417,BMI组5
