,association_strength,statistical_significance,cross_group_consistency,comprehensive_score,total_groups,significant_groups,strong_correlation_groups
孕妇BMI,0.15136912388265458,0.6666666666666666,0.3333333333333333,0.4180357905493212,3.0,2.0,1.0
18号染色体的Z值,0.120558697282443,0.3333333333333333,0.3333333333333333,0.28722536394910964,3.0,1.0,1.0
重复读段的比例,0.10761937835893848,0.3333333333333333,0.3333333333333333,0.2742860450256051,3.0,1.0,1.0
13号染色体的Z值,0.09561920872897607,0.0,0.3333333333333333,0.16228587539564274,3.0,0.0,1.0
原始读段数,0.09155142044247454,0.0,0.3333333333333333,0.1582180871091412,3.0,0.0,1.0
唯一比对的读段数,0.08943631869562992,0.0,0.3333333333333333,0.15610298536229658,3.0,0.0,1.0
体重,0.07826061662779953,0.0,0.0,0.07826061662779953,3.0,0.0,0.0
GC含量,0.057988630485109716,0.0,0.0,0.057988630485109716,3.0,0.0,0.0
年龄,0.056161528964825826,0.0,0.0,0.056161528964825826,3.0,0.0,0.0
身高,0.054017474135450695,0.0,0.0,0.054017474135450695,3.0,0.0,0.0
X染色体的Z值,0.05320724631365479,0.0,0.0,0.05320724631365479,3.0,0.0,0.0
在参考基因组上比对的比例,0.04907053318771378,0.0,0.0,0.04907053318771378,3.0,0.0,0.0
21号染色体的Z值,0.04543058927584306,0.0,0.0,0.04543058927584306,3.0,0.0,0.0
